id,lat,lon,kind,note
1,-9.77255,-63.08877,missed,
2,-9.75256,-63.02968,missed,
3,-9.78726,-62.99895,missed,
4,-9.81244,-63.01346,missed,
5,-9.81709,-63.01393,missed,
6,-9.88266,-63.04487,not,
7,-9.89264,-63.01346,not,
8,-9.91903,-62.9999,not,
9,-9.92123,-63.03526,not,
10,-9.9353,-63.022,missed,
11,-9.94833,-62.98333,missed,
12,-9.84219,-63.20409,missed,
13,-9.8129,-63.21447,not,
14,-9.79716,-63.12761,not,
15,-9.84438,-63.1501,not,
16,-9.63667,-63.27095,not,
17,-9.58841,-63.29584,not,
18,-9.62668,-63.32365,not,
19,-9.63464,-63.31644,not,
20,-9.55895,-63.26134,not,
21,-9.54167,-63.24383,not,
22,-9.49238,-63.1513,not,
23,-9.51914,-63.16795,not,
24,-9.5144,-63.11972,not,
25,-9.5114,-62.97483,not,
26,-9.50801,-62.90342,not,
27,-9.47481,-63.01638,not,
28,-9.40737,-63.0341,missed,
29,-9.40542,-63.02968,missed,
30,-9.39767,-63.05955,missed,
31,-9.36642,-62.89012,missed,
32,-9.37455,-62.87132,missed,
33,-9.3998,-62.90145,missed,
34,-9.41835,-62.88686,missed,
35,-9.37735,-62.93106,missed,
36,-9.34939,-62.92042,missed,
37,-9.42113,-62.85587,missed,
38,-9.40452,-62.85381,missed,
39,-9.71424,-62.60722,missed,
40,-9.72693,-62.5898,missed,
41,-9.70044,-62.60018,missed,
42,-9.67377,-62.60319,missed,
43,-9.72126,-62.52448,missed,
44,-9.70306,-62.50414,missed,
45,-10.43053,-63.20349,missed,
46,-10.41321,-63.17971,missed,
47,-10.39674,-63.20306,missed,
48,-10.4084,-63.20726,missed,
49,-10.4171,-63.20271,missed,
50,-10.44294,-63.18898,missed,
51,-10.4383,-63.17636,missed,
52,-10.42048,-63.18692,missed,
53,-10.40646,-63.18898,missed,
54,-10.39945,-63.18718,missed,
55,-10.38813,-63.1804,missed,
56,-10.38923,-63.16701,missed,
57,-10.45342,-63.16195,missed,
58,-10.45849,-63.14461,missed,
59,-10.434,-63.14701,missed,
60,-10.46677,-63.21104,missed,
61,-10.4465,-63.23044,missed,
62,-10.43517,-62.92625,missed,
63,-10.45882,-62.91922,missed,
64,-10.48381,-62.89656,missed,
65,-10.49698,-62.93947,missed,
66,-10.48398,-62.94445,missed,
67,-10.48246,-62.93381,missed,
68,-10.46523,-62.93724,missed,
69,-10.46557,-62.9563,missed,
70,-10.44936,-62.97775,missed,
71,-10.52957,-62.92282,missed,
72,-11.72423,-64.22985,not,
73,-10.24083,-64.35117,missed,
74,-10.22743,-64.34422,missed,
75,-9.77936,-63.35034,missed,
76,-9.77784,-63.36408,missed,
77,-9.27309,-62.90819,missed,
78,-9.2822,-62.90394,missed,
