fid,lat,lon,label
6,-8.35109,-65.51508,unsure
60,-8.5672,-63.65075,not
105,-8.21602,-63.25514,not
106,-8.21634,-63.25931,not
107,-8.21797,-63.26301,not
109,-8.24884,-63.36889,not
110,-8.25558,-63.37362,not
112,-8.26387,-63.47578,not
113,-8.28987,-63.39599,not
122,-8.39109,-63.44752,not
123,-8.39452,-63.44588,not
124,-8.40037,-63.4529,not
130,-8.46391,-63.51948,not
131,-8.46738,-63.52224,not
135,-8.47512,-63.53273,not
136,-8.47503,-63.57105,not
137,-8.47647,-63.5838,not
139,-8.4845,-63.55158,not
141,-8.48768,-63.5551,not
144,-8.48945,-63.57668,not
150,-8.49341,-63.57999,not
151,-8.49625,-63.54336,not
152,-8.49587,-63.58244,not
153,-8.53059,-62.87278,unsure
162,-8.50578,-63.54358,not
175,-8.51512,-63.54767,not
186,-8.55297,-62.88634,not
190,-8.52305,-63.5333,not
194,-8.52543,-63.55802,not
217,-8.57188,-62.90207,unsure
355,-8.66411,-63.57383,not
761,-8.10427,-61.67767,ilha
889,-8.32029,-61.9004,ilha
1000,-7.79478,-61.22685,not
1007,-7.81879,-60.68135,not
1068,-7.83054,-60.89941,not
1172,-7.86911,-60.6379,not
1396,-7.93166,-60.75235,not
1641,-7.97865,-60.89422,not
1693,-7.99478,-60.77659,not
1927,-8.03512,-60.78816,not
2105,-8.06297,-60.79136,not
2247,-8.10003,-60.48013,not
2308,-8.10526,-60.68729,not
2314,-8.0978,-60.88824,unsure
2580,-8.14006,-60.96809,unsure
2700,-8.16309,-60.83762,not
2764,-8.18088,-60.70002,not
2882,-8.20974,-60.57328,not
2906,-8.20743,-60.71658,not
3195,-8.23924,-61.05972,not
3265,-8.26744,-60.65519,not
3537,-8.31304,-60.5819,not
3630,-8.32421,-60.61651,not
4038,-8.39294,-60.58042,not
4273,-8.414,-61.12683,ilha
5043,-8.75158,-60.58015,not
6122,-8.8478,-64.91642,ilha
6193,-8.97229,-64.78574,unsure
6472,-9.12959,-64.94124,ilha
6523,-9.15889,-64.82268,ilha
6559,-9.16645,-64.85171,ilha
6569,-9.16659,-64.88056,ilha
6584,-9.17119,-64.88057,ilha
6589,-9.17388,-64.86502,ilha
6596,-9.17502,-64.8808,ilha
6616,-9.18296,-64.83154,ilha
6618,-9.18108,-64.8778,ilha
6627,-9.18473,-64.87209,ilha
6650,-9.19427,-64.83967,ilha
6720,-9.21336,-64.81475,ilha
6823,-9.23168,-64.82561,ilha
6850,-9.23236,-64.90268,ilha
6888,-9.24566,-64.79627,ilha
7159,-9.24631,-65.50436,unsure
7362,-9.31729,-64.92081,ilha
7428,-9.30923,-65.30065,not
7472,-9.30846,-65.46295,ilha
7645,-9.38126,-64.83775,not
7686,-9.3959,-64.81078,ilha
7715,-9.40334,-64.83674,not
7908,-9.45042,-65.07043,ilha
8082,-9.53142,-64.81422,ilha
8310,-8.65019,-64.54728,ilha
8312,-8.65882,-64.54414,ilha
8328,-8.82137,-63.96586,not
8343,-8.83659,-63.94054,not
8355,-8.83864,-64.0384,not
8372,-8.84532,-64.06771,not
8379,-8.85048,-64.06747,not
8395,-8.8652,-64.06128,not
8414,-8.88233,-64.09219,not
8419,-8.89013,-64.07606,not
8420,-8.89049,-64.07892,not
8426,-8.90526,-64.08153,not
8443,-8.94163,-64.07936,not
8444,-8.9417,-64.08272,not
8447,-8.94359,-64.07636,not
8472,-8.9746,-64.10209,not
8484,-8.99053,-64.15466,not
8485,-8.991,-64.1459,not
8498,-9.00278,-64.1468,not
8507,-9.02875,-63.76259,not
8576,-9.08515,-63.70472,not
8753,-9.25732,-63.8743,ilha
8862,-9.32492,-64.03454,ilha
8864,-9.31338,-64.24558,ilha
8869,-9.33959,-63.85762,not
8943,-9.36329,-63.82005,not
8950,-9.36533,-63.82976,not
8957,-9.36943,-63.83958,not
9132,-9.4095,-64.46103,not
9305,-9.51398,-64.0072,ilha
9425,-9.5721,-63.76619,ilha
9446,-9.5668,-63.93791,ilha
9497,-9.57435,-64.08558,ilha
9654,-9.64915,-63.9066,not
9674,-9.637,-64.26072,unsure
9822,-8.70013,-63.46267,not
9830,-8.70251,-63.46668,not
9831,-8.7041,-63.47091,not
9975,-8.77737,-63.45027,unsure
10036,-8.82671,-63.17844,unsure
10075,-8.88655,-62.80229,ilha
